old_gre,new_gre,percentile
,170,99
800,166,92
790,164,88
780,163,86
770,161,80
760,160,78
750,159,75
740,158,71
730,157,68
720,156,64
710,155,60
700,155,60
690,154,56
680,153,52
670,152,48
660,152,48
650,151,45
640,151,45
630,150,40
620,149,37
610,149,37
600,148,32
590,148,32
580,147,28
570,147,28
560,146,25
550,146,25
540,145,21
530,145,21
520,144,18
510,144,18
500,144,18
490,143,15
480,143,15
470,142,12
460,142,12
450,141,10
440,141,10
430,141,10
420,140,8
410,140,8
400,140,8
390,139,6
380,139,6
370,138,4
360,138,4
350,138,4
340,137,3
330,137,3
320,136,2
310,136,2
300,136,2
290,135,2
280,135,2
270,134,1
260,134,1
250,133,1
240,133,1
230,132,–
220,132,–
210,131,–
200,131,–
